subject,within_subject_ba,cross_subject_ba,difference
38,0.5714285714285715,0.5543478260869565,-0.017080745341614967
39,0.4880952380952381,0.43478260869565216,-0.05331262939958592
40,0.4077380952380952,0.42857142857142855,0.02083333333333337
41,0.4732142857142857,0.6873706004140787,0.21415631469979302
42,0.8214285714285715,0.8033596837944664,-0.01806888763410508
43,0.6815476190476191,0.541501976284585,-0.1400456427630341
44,0.5773809523809524,0.5,-0.07738095238095244
45,0.6309523809523809,0.5909090909090909,-0.04004329004328999
46,0.5505952380952381,0.607707509881423,0.05711227178618483
47,0.5416666666666666,0.5148809523809523,-0.0267857142857143
48,0.6577380952380952,0.5,-0.15773809523809523
49,0.7232142857142857,0.7154150197628458,-0.007799265951439871
50,0.613095238095238,0.5,-0.11309523809523803
51,0.4821428571428571,0.49702380952380953,0.014880952380952439
52,0.6130952380952381,0.5416666666666666,-0.07142857142857151
53,0.8422619047619048,0.6215415019762847,-0.2207204027856201
54,0.6755952380952381,0.607707509881423,-0.06788772821381517
55,0.6964285714285715,0.5642292490118577,-0.13219932241671384
56,0.8452380952380952,0.6205533596837944,-0.2246847355543008
57,0.4077380952380952,0.49107142857142855,0.08333333333333337
58,0.5595238095238095,0.6041666666666666,0.044642857142857095
59,0.5267857142857143,0.5297619047619048,0.0029761904761904656
60,0.8601190476190478,0.5642292490118577,-0.2958897986071901
61,0.5357142857142857,0.5227272727272727,-0.012987012987012991
62,0.8571428571428572,0.8656126482213439,0.008469791078486666
63,0.6488095238095238,0.5,-0.14880952380952384
64,0.6279761904761905,0.4937888198757764,-0.13418737060041408
65,0.494047619047619,0.5029761904761905,0.008928571428571452
66,0.4761904761904761,0.43675889328063244,-0.039431582909843665
67,0.4613095238095238,0.5,0.03869047619047622
68,0.5386904761904762,0.5948616600790514,0.05617118388857523
69,0.6101190476190476,0.5565476190476191,-0.05357142857142849
70,0.6964285714285715,0.541501976284585,-0.15492659514398655
71,0.7261904761904763,0.7341897233201581,0.007999247129681808
72,0.8809523809523809,0.8841991341991342,0.0032467532467532756
73,0.5,0.6190476190476191,0.11904761904761907
74,0.5982142857142857,0.524891774891775,-0.07332251082251073
75,0.4970238095238095,0.6739130434782609,0.17688923395445139
76,0.4047619047619047,0.45238095238095233,0.047619047619047616
77,0.5446428571428571,0.4821428571428571,-0.0625
78,0.4880952380952381,0.44762845849802374,-0.04046677959721434
79,0.5119047619047619,0.5434782608695652,0.031573498964803326
80,0.7113095238095238,0.5069169960474308,-0.20439252776209305
81,0.6160714285714285,0.5,-0.11607142857142849
82,0.5148809523809524,0.4772727272727273,-0.037608225108225146
83,0.4642857142857142,0.6274703557312253,0.16318464144551115
84,0.6220238095238095,0.5642292490118577,-0.057794560511951865
85,0.7916666666666666,0.8893280632411067,0.09766139657444006
86,0.5416666666666666,0.5,-0.04166666666666663
87,0.5089285714285715,0.5227272727272727,0.0137987012987012
88,0.4907407407407407,0.4747536945812808,-0.015987046159459894
89,0.5684523809523809,0.48809523809523814,-0.0803571428571428
90,0.4851190476190476,0.5306324110671937,0.045513363448146105
91,0.5505952380952381,0.5968379446640316,0.04624270656879348
92,0.6814814814814815,0.6166666666666667,-0.06481481481481477
93,0.8214285714285715,0.6294466403162056,-0.19198193111236594
94,0.8809523809523809,0.5227272727272727,-0.3582251082251082
95,0.5,0.4950592885375494,-0.00494071146245062
96,0.4494047619047618,0.6521739130434783,0.20276915113871646
97,0.6398809523809524,0.4782608695652174,-0.16162008281573503
98,0.6875,0.4258893280632411,-0.2616106719367589
99,0.5595238095238094,0.5938735177865613,0.034349708262751855
100,0.4166666666666667,0.4722222222222222,0.055555555555555525
101,0.5089285714285715,0.43478260869565216,-0.07414596273291935
102,0.4761904761904762,0.5238095238095237,0.047619047619047505
103,0.5773809523809524,0.5691699604743083,-0.008210991906644094
104,0.6418650793650794,0.4285714285714286,-0.2132936507936508
105,0.5744047619047619,0.5009881422924901,-0.07341661961227175
106,0.6041666666666666,0.5416666666666666,-0.0625
107,0.5535714285714286,0.5684523809523809,0.014880952380952328
108,0.693452380952381,0.7826086956521738,0.0891563146997928
109,0.4285714285714285,0.5,0.07142857142857151
